run_key,run_label,step,action_type,total_state_changes,change_details,room_cleanliness,room_temperature,food_freshness,resident_activity_mood,plant_vitality,open_close_or_scan,holding_and_carry,object_state_misc
before_refactor,Before Refactor,11,push,24,entrance:temperature(23.83->24.15) | entrance:cleanliness(0.9556->0.9552) | living_room:temperature(23.83->24.15) | living_room:cleanliness(0.9556->0.9552) | kitchen:temperature(23.83->24.15) | kitchen:cleanliness(0.9556->0.9552) | bedroom:temperature(23.83->24.15) | bedroom:cleanliness(0.9556->0.9552) | bathroom:temperature(23.83->24.15) | bathroom:cleanliness(0.9556->0.9552) | balcony:temperature(23.83->24.15) | balcony:cleanliness(0.9556->0.9552) | milk_fridge_kitchen:freshness(0.89->0.88) | juice_fridge_kitchen:freshness(0.89->0.88) | vegetables_fridge_kitchen:freshness(0.89->0.88) | sink_bathroom:fill_level(0.25->0.5) | toilet_bathroom:cleanliness(0.92->0.74) | plant_balcony:vitality(0.755->0.74) | door_living_room:pushed(None->True) | human_resident:_scheduled_phase(breakfast->leaving_home),6,6,3,5,1,1,0,2
before_refactor,Before Refactor,12,move,21,"entrance:temperature(24.15->24.44) | entrance:cleanliness(0.9552->0.9548) | living_room:temperature(24.15->24.44) | living_room:cleanliness(0.9552->0.9548) | kitchen:temperature(24.15->24.44) | kitchen:cleanliness(0.9552->0.9548) | bedroom:temperature(24.15->24.44) | bedroom:cleanliness(0.9552->0.9548) | bathroom:temperature(24.15->24.44) | bathroom:cleanliness(0.9552->0.9548) | balcony:temperature(24.15->24.44) | balcony:cleanliness(0.9552->0.9548) | milk_fridge_kitchen:freshness(0.88->0.87) | juice_fridge_kitchen:freshness(0.88->0.87) | vegetables_fridge_kitchen:freshness(0.88->0.87) | sink_bathroom:fill_level(0.5->0.38) | faucet_bathroom:is_on(True->False) | plant_balcony:vitality(0.74->0.725) | human_resident:mood(0.9928->0.9922) | human_resident:_phase_queue([{'kind': 'press', 'target': 'faucet_bathroom', 'is_on': False}, {'kind': 'move_to', 'parent': 'bathroom', 'room': 'bathroom'}]->[{'kind': 'move_to', 'parent': 'bathroom', 'room': 'bathroom'}])",6,6,3,3,1,0,0,2
before_refactor,Before Refactor,13,scan,21,"entrance:temperature(24.44->24.71) | entrance:cleanliness(0.9548->0.9544) | living_room:temperature(24.44->24.71) | living_room:cleanliness(0.9548->0.9544) | kitchen:temperature(24.44->24.71) | kitchen:cleanliness(0.9548->0.9544) | bedroom:temperature(24.44->24.71) | bedroom:cleanliness(0.9548->0.9544) | bedroom:scanned(None->True) | bathroom:temperature(24.44->24.71) | bathroom:cleanliness(0.9548->0.9544) | balcony:temperature(24.44->24.71) | balcony:cleanliness(0.9548->0.9544) | milk_fridge_kitchen:freshness(0.87->0.86) | juice_fridge_kitchen:freshness(0.87->0.86) | vegetables_fridge_kitchen:freshness(0.87->0.86) | sink_bathroom:fill_level(0.38->0.26) | plant_balcony:vitality(0.725->0.71) | human_resident:mood(0.9922->0.9916) | human_resident:_phase_queue([{'kind': 'move_to', 'parent': 'bathroom', 'room': 'bathroom'}]->[])",6,6,3,3,1,1,0,1
before_refactor,Before Refactor,14,move,26,entrance:temperature(24.71->24.96) | entrance:cleanliness(0.9544->0.954) | living_room:temperature(24.71->24.96) | living_room:cleanliness(0.9544->0.954) | kitchen:temperature(24.71->24.96) | kitchen:cleanliness(0.9544->0.954) | bedroom:temperature(24.71->24.96) | bedroom:cleanliness(0.9544->0.954) | bathroom:temperature(24.71->24.96) | bathroom:cleanliness(0.9544->0.954) | balcony:temperature(24.71->24.96) | balcony:cleanliness(0.9544->0.954) | milk_fridge_kitchen:freshness(0.86->0.85) | juice_fridge_kitchen:freshness(0.86->0.85) | vegetables_fridge_kitchen:freshness(0.86->0.85) | sink_bathroom:fill_level(0.26->0.14) | plant_balcony:vitality(0.71->0.695) | door_kitchen:isOpen(None->True) | door_kitchen:is_open(False->True) | human_resident:_scheduled_phase(leaving_home->away_at_work),6,6,3,7,1,2,0,1
before_refactor,Before Refactor,15,move,19,entrance:temperature(24.96->25.19) | entrance:cleanliness(0.954->0.9536) | living_room:temperature(24.96->25.19) | living_room:cleanliness(0.954->0.9536) | kitchen:temperature(24.96->25.19) | kitchen:cleanliness(0.954->0.9536) | bedroom:temperature(24.96->25.19) | bedroom:cleanliness(0.954->0.9536) | bathroom:temperature(24.96->25.19) | bathroom:cleanliness(0.954->0.9536) | balcony:temperature(24.96->25.19) | balcony:cleanliness(0.954->0.9536) | milk_fridge_kitchen:freshness(0.85->0.84) | juice_fridge_kitchen:freshness(0.85->0.84) | vegetables_fridge_kitchen:freshness(0.85->0.84) | sink_bathroom:fill_level(0.14->0.02) | plant_balcony:vitality(0.695->0.68) | human_resident:mood(0.991->0.9904) | robot_01:mood(0.991->0.9904),6,6,3,2,1,0,0,1
before_refactor,Before Refactor,16,push,22,entrance:temperature(25.19->25.4) | entrance:cleanliness(0.9536->0.9532) | living_room:temperature(25.19->25.4) | living_room:cleanliness(0.9536->0.9532) | kitchen:temperature(25.19->25.4) | kitchen:cleanliness(0.9536->0.9532) | bedroom:temperature(25.19->25.4) | bedroom:cleanliness(0.9536->0.9532) | bathroom:temperature(25.19->25.4) | bathroom:cleanliness(0.9536->0.9532) | balcony:temperature(25.19->25.4) | balcony:cleanliness(0.9536->0.9532) | milk_fridge_kitchen:freshness(0.84->0.83) | juice_fridge_kitchen:freshness(0.84->0.83) | vegetables_fridge_kitchen:freshness(0.84->0.83) | sink_bathroom:fill_level(0.02->0.0) | plant_balcony:vitality(0.68->0.665) | door_kitchen:is_open(True->False) | door_kitchen:pushed(None->True) | human_resident:mood(0.9904->0.9898),6,6,3,3,1,2,0,1
before_refactor,Before Refactor,17,move,19,"entrance:temperature(25.4->25.59) | entrance:cleanliness(0.9532->0.9528) | living_room:temperature(25.4->25.59) | living_room:cleanliness(0.9532->0.9528) | kitchen:temperature(25.4->25.59) | kitchen:cleanliness(0.9532->0.9528) | bedroom:temperature(25.4->25.59) | bedroom:cleanliness(0.9532->0.9528) | bathroom:temperature(25.4->25.59) | bathroom:cleanliness(0.9532->0.9528) | balcony:temperature(25.4->25.59) | balcony:cleanliness(0.9532->0.9528) | milk_fridge_kitchen:freshness(0.83->0.82) | juice_fridge_kitchen:freshness(0.83->0.82) | vegetables_fridge_kitchen:freshness(0.83->0.82) | plant_balcony:vitality(0.665->0.65) | human_resident:mood(0.9898->0.9892) | human_resident:_phase_queue([{'kind': 'pick', 'object': 'bowls_dishwasher_kitchen'}, {'kind': 'move_to', 'parent': 'coffee_table_living_room', 'room': 'living_room'}, {'kind': 'place', 'object': 'bowls_dishwasher_kitchen', 'target': 'coffee_table_living_room', 'relation': 'on'}, {'kind': 'eat_meal'}]->[{'kind': 'move_to', 'parent': 'coffee_table_living_room', 'room': 'living_room'}, {'kind': 'place', 'object': 'bowls_dishwasher_kitchen', 'target': 'coffee_table_living_room', 'relation': 'on'}, {'kind': 'eat_meal'}]) | robot_01:mood(0.9898->0.9892)",6,6,3,3,1,0,0,0
before_refactor,Before Refactor,18,scan,20,entrance:temperature(25.59->25.77) | entrance:cleanliness(0.9528->0.9524) | living_room:temperature(25.59->25.77) | living_room:cleanliness(0.9528->0.9524) | kitchen:temperature(25.59->25.77) | kitchen:cleanliness(0.9528->0.9524) | bedroom:temperature(25.59->25.77) | bedroom:cleanliness(0.9528->0.9524) | bathroom:temperature(25.59->25.77) | bathroom:cleanliness(0.9528->0.9524) | balcony:temperature(25.59->25.77) | balcony:cleanliness(0.9528->0.9524) | milk_fridge_kitchen:freshness(0.82->0.81) | juice_fridge_kitchen:freshness(0.82->0.81) | vegetables_fridge_kitchen:freshness(0.82->0.81) | plant_balcony:vitality(0.65->0.635) | door_living_room:is_open(False->True) | door_living_room:isOpen(None->True) | human_resident:mood(0.9892->0.9886) | robot_01:mood(0.9892->0.9886),6,6,3,2,1,2,0,0
before_refactor,Before Refactor,19,push,18,entrance:temperature(25.77->25.93) | entrance:cleanliness(0.9524->0.952) | living_room:temperature(25.77->25.93) | living_room:cleanliness(0.9524->0.952) | kitchen:temperature(25.77->25.93) | kitchen:cleanliness(0.9524->0.952) | bedroom:temperature(25.77->25.93) | bedroom:cleanliness(0.9524->0.952) | bathroom:temperature(25.77->25.93) | bathroom:cleanliness(0.9524->0.952) | balcony:temperature(25.77->25.93) | balcony:cleanliness(0.9524->0.952) | milk_fridge_kitchen:freshness(0.81->0.8) | juice_fridge_kitchen:freshness(0.81->0.8) | vegetables_fridge_kitchen:freshness(0.81->0.8) | plant_balcony:vitality(0.635->0.62) | human_resident:mood(0.9886->0.988) | robot_01:mood(0.9886->0.988),6,6,3,2,1,0,0,0
before_refactor,Before Refactor,20,push,18,entrance:temperature(25.93->26.08) | entrance:cleanliness(0.952->0.9516) | living_room:temperature(25.93->26.08) | living_room:cleanliness(0.952->0.9516) | kitchen:temperature(25.93->26.08) | kitchen:cleanliness(0.952->0.9516) | bedroom:temperature(25.93->26.08) | bedroom:cleanliness(0.952->0.9516) | bathroom:temperature(25.93->26.08) | bathroom:cleanliness(0.952->0.9516) | balcony:temperature(25.93->26.08) | balcony:cleanliness(0.952->0.9516) | milk_fridge_kitchen:freshness(0.8->0.79) | juice_fridge_kitchen:freshness(0.8->0.79) | vegetables_fridge_kitchen:freshness(0.8->0.79) | plant_balcony:vitality(0.62->0.605) | human_resident:mood(0.988->0.9874) | robot_01:mood(0.988->0.9874),6,6,3,2,1,0,0,0
